brand,outbound_tweets,replies_to_parent,first_contact_tweets,reply_rate,avg_char_length,avg_word_count,url_presence_rate
AmazonHelp,169840,169287,553,0.9967,124.0,19.8,0.413
AppleSupport,106860,106719,141,0.9987,136.6,22.7,0.7535
Uber_Support,56270,56261,9,0.9998,110.1,19.2,0.5128
SpotifyCares,43265,43243,22,0.9995,129.6,22.1,0.5049
Delta,42253,42197,56,0.9987,103.9,17.9,0.1534
Tesco,38573,38501,72,0.9981,139.0,25.9,0.0827
AmericanAir,36764,36598,166,0.9955,103.4,18.4,0.0647
TMobileHelp,34317,34287,30,0.9991,125.0,21.5,0.482
comcastcares,33031,33007,24,0.9993,127.5,24.0,0.04
British_Airways,29361,29315,46,0.9984,124.4,21.7,0.0682
SouthwestAir,28977,28889,88,0.997,116.8,20.4,0.162
VirginTrains,27817,27522,295,0.9894,84.9,15.1,0.132
Ask_Spectrum,25860,25807,53,0.998,137.2,23.8,0.394
XboxSupport,24557,24341,216,0.9912,114.9,19.9,0.4035
sprintcare,22381,22335,46,0.9979,115.1,21.2,0.1732
hulu_support,21872,21783,89,0.9959,136.1,22.0,0.5484
sainsburys,19466,19417,49,0.9975,120.6,20.9,0.3063
GWRHelp,19364,19294,70,0.9964,112.7,19.5,0.0701
AskPlayStation,19098,18694,404,0.9788,99.0,16.0,0.3663
ChipotleTweets,18749,18612,137,0.9927,73.4,12.3,0.2779
VerizonSupport,17966,17851,115,0.9936,88.1,15.9,0.1083
UPSHelp,17817,17772,45,0.9975,145.4,23.8,0.8506
ATVIAssist,17650,17531,119,0.9933,108.2,18.7,0.3208
O2,16212,16091,121,0.9925,113.7,20.0,0.4689
Safaricom_Care,16077,15471,606,0.9623,80.6,13.4,0.1068
idea_cares,15724,15617,107,0.9932,135.8,21.9,0.3299
AskTarget,13218,13218,0,1.0,170.9,29.3,0.2512
AirAsiaSupport,12829,12735,94,0.9927,108.3,18.5,0.0847
BofA_Help,12683,12654,29,0.9977,104.5,18.1,0.3063
SW_Help,12231,11792,439,0.9641,115.7,20.0,0.1795
ArgosHelpers,12174,12053,121,0.9901,106.0,20.2,0.0775
AskLyft,11809,11795,14,0.9988,127.6,21.3,0.7272
marksandspencer,11504,11460,44,0.9962,112.8,20.2,0.1297
AskAmex,11358,11111,247,0.9783,96.9,16.7,0.0623
MicrosoftHelps,11304,11223,81,0.9928,136.1,22.4,0.5119
AskPayPal,11298,11270,28,0.9975,130.5,23.2,0.2685
Morrisons,10126,10028,98,0.9903,98.1,18.7,0.0119
AdobeCare,9917,9888,29,0.9971,128.0,21.9,0.4128
airtel_care,9881,9869,12,0.9988,110.8,17.7,0.0298
AskeBay,9686,9624,62,0.9936,140.6,25.4,0.1828
AirbnbHelp,8875,8868,7,0.9992,145.3,26.0,0.1815
ChaseSupport,8811,8714,97,0.989,133.5,23.3,0.4868
McDonalds,8478,8429,49,0.9942,86.5,15.1,0.0946
AldiUK,8114,7927,187,0.977,110.0,19.7,0.0669
JetBlue,8020,7972,48,0.994,99.9,17.0,0.1968
CoxHelp,7861,7836,25,0.9968,117.1,20.7,0.165
Ask_WellsFargo,7578,7564,14,0.9982,140.9,24.0,0.4415
AzureSupport,7565,7484,81,0.9893,99.9,16.8,0.4237
AlaskaAir,7478,7428,50,0.9933,90.8,15.4,0.1836
HPSupport,7200,7181,19,0.9974,138.8,23.2,0.5871
LondonMidland,6822,6525,297,0.9565,98.8,17.5,0.0654
GloCare,6308,6304,4,0.9994,105.0,17.3,0.0296
DropboxSupport,5954,5941,13,0.9978,144.6,24.8,0.2526
DellCares,5336,5245,91,0.9829,143.2,24.9,0.2176
GreggsOfficial,4522,4495,27,0.994,53.0,9.6,0.0641
nationalrailenq,4444,4147,297,0.9332,95.7,16.2,0.1521
VirginAtlantic,4318,4299,19,0.9956,99.2,18.2,0.1364
TacoBellTeam,4082,4082,0,1.0,55.4,9.2,0.3246
AskCiti,4081,4037,44,0.9892,171.3,28.9,0.6694
AskPapaJohns,3908,3904,4,0.999,98.9,17.6,0.0241
CenturyLinkHelp,3801,3797,4,0.9989,115.8,22.1,0.0353
NikeSupport,3468,3414,54,0.9844,107.2,19.1,0.1577
Postmates_Help,3346,3344,2,0.9994,80.6,15.2,0.1444
VirginAmerica,2815,2805,10,0.9964,90.3,15.4,0.1943
ATT,2790,2719,71,0.9746,141.3,24.7,0.1907
Walmart,2643,2615,28,0.9894,83.1,14.6,0.0511
IHGService,2643,2628,15,0.9943,162.3,25.6,0.8343
TfL,2243,2221,22,0.9902,122.1,21.2,0.2109
askpanera,2153,2153,0,1.0,119.5,22.2,0.1496
KFC_UKI_Help,2103,2101,2,0.999,95.7,19.4,0.0062
NortonSupport,2011,1999,12,0.994,116.8,16.4,0.2879
GoDaddyHelp,1965,1953,12,0.9939,137.9,23.0,0.5359
ArbysCares,1904,1904,0,1.0,93.1,15.8,0.0667
AsurionCares,1898,1850,48,0.9747,109.4,20.3,0.04
DoorDash_Help,1581,1575,6,0.9962,119.5,22.0,0.0013
sizehelpteam,1482,1475,7,0.9953,95.8,18.3,0.0054
VMUcare,1381,1352,29,0.979,91.1,16.1,0.1781
Kimpton,1339,1283,56,0.9582,103.1,18.2,0.0568
SCsupport,1329,1250,79,0.9406,113.2,19.5,0.4387
DunkinDonuts,1290,1278,12,0.9907,85.6,16.3,0.0155
TwitterSupport,1290,1278,12,0.9907,123.1,19.6,0.9829
USCellularCares,1177,1177,0,1.0,101.9,18.8,0.0408
NeweggService,1079,1067,12,0.9889,108.3,19.9,0.2576
PandoraSupport,1043,1022,21,0.9799,103.3,18.3,0.2416
AWSSupport,1035,1034,1,0.999,129.4,20.5,0.687
AskRBC,1011,1011,0,1.0,143.6,26.3,0.1761
AskVirginMoney,914,908,6,0.9934,105.5,20.2,0.0098
BoostCare,907,905,2,0.9978,116.1,21.2,0.0805
YahooCare,906,876,30,0.9669,119.5,20.3,0.2892
OPPOCareIN,879,869,10,0.9886,139.7,24.3,0.1752
PearsonSupport,841,828,13,0.9845,132.5,20.9,0.5553
HiltonHelp,833,830,3,0.9964,116.8,19.9,0.012
GooglePlayMusic,804,803,1,0.9988,134.0,22.0,0.403
MTNC_Care,784,775,9,0.9885,106.1,17.0,0.074
AskTigogh,715,714,1,0.9986,96.0,16.3,0.0853
asksalesforce,710,707,3,0.9958,100.8,18.1,0.2028
askvisa,709,709,0,1.0,130.9,21.4,0.1171
AskSeagate,639,639,0,1.0,162.1,26.8,0.4538
MOO,630,616,14,0.9778,88.1,15.6,0.1238
ask_progressive,612,612,0,1.0,141.0,24.2,0.482
KeyBank_Help,555,554,1,0.9982,130.4,23.7,0.0703
AskRobinhood,432,430,2,0.9954,71.5,13.0,0.0926
mediatemplehelp,305,302,3,0.9902,134.0,22.4,0.2918
JackBox,266,255,11,0.9586,57.2,10.5,0.0414
OfficeSupport,218,216,2,0.9908,115.1,20.1,0.2385
AskDSC,210,210,0,1.0,91.8,15.5,0.2571
CarlsJr,196,183,13,0.9337,109.6,18.1,0.449
HotelTonightCX,152,152,0,1.0,107.3,19.5,0.0855
